Cycle/Week,Deployment date,Retrieval date,Stream,Device ID,EMU,Position,Latitude,Longitude,Pool wrapped this week
1,2026-10-19 (Mon),2026-10-26 (Mon),audiomoth,AM-FCF_GV_EMU_Ganjam_1-01,FCF_GV_EMU_Ganjam_1,737335948,19.634402,84.36676,No
1,2026-10-19 (Mon),2026-10-26 (Mon),audiomoth,AM-FCF_GV_EMU_Ganjam_1-02,FCF_GV_EMU_Ganjam_1,654106756,20.199179,84.757703,No
1,2026-10-19 (Mon),2026-10-26 (Mon),audiomoth,AM-FCF_GV_EMU_Ganjam_1-03,FCF_GV_EMU_Ganjam_1,750043435,19.087056,84.466387,No
1,2026-10-19 (Mon),2026-10-26 (Mon),audiomoth,AM-FCF_GV_EMU_Ganjam_1-04,FCF_GV_EMU_Ganjam_1,735356793,19.877489,84.290944,No
2,2026-10-27 (Tue),2026-11-03 (Tue),audiomoth,AM-FCF_GV_EMU_Kandhmal_1-01,FCF_GV_EMU_Kandhmal_1,689493541,20.041898,83.911508,No
2,2026-10-27 (Tue),2026-11-03 (Tue),audiomoth,AM-FCF_GV_EMU_Kandhmal_1-02,FCF_GV_EMU_Kandhmal_1,743695200,19.82946,84.074824,No
2,2026-10-27 (Tue),2026-11-03 (Tue),audiomoth,AM-FCF_GV_EMU_Kandhmal_2-01,FCF_GV_EMU_Kandhmal_2,689494004,20.289248,83.948111,No
2,2026-10-27 (Tue),2026-11-03 (Tue),audiomoth,AM-FCF_GV_EMU_Kandhmal_2-02,FCF_GV_EMU_Kandhmal_2,740331712,19.797339,83.955655,No
3,2026-11-04 (Wed),2026-11-11 (Wed),audiomoth,AM-FCF_GV_EMU_Gajapati_1-01,FCF_GV_EMU_Gajapati_1,740213232,19.569271,84.306515,No
3,2026-11-04 (Wed),2026-11-11 (Wed),audiomoth,AM-FCF_GV_EMU_Gajapati_1-02,FCF_GV_EMU_Gajapati_1,744653389,18.925652,84.321319,No
3,2026-11-04 (Wed),2026-11-11 (Wed),audiomoth,AM-FCF_GV_EMU_Gajapati_1-03,FCF_GV_EMU_Gajapati_1,747830310,19.372857,84.161336,No
3,2026-11-04 (Wed),2026-11-11 (Wed),audiomoth,AM-FCF_GV_EMU_Gajapati_1-04,FCF_GV_EMU_Gajapati_1,735536390,18.950285,84.047917,No
4,2026-11-12 (Thu),2026-11-19 (Thu),audiomoth,AM-FCF_GV_EMU_Kalahandi_1-01,FCF_GV_EMU_Kalahandi_1,740568090,19.574263,82.955259,No
4,2026-11-12 (Thu),2026-11-19 (Thu),audiomoth,AM-FCF_GV_EMU_Kalahandi_1-02,FCF_GV_EMU_Kalahandi_1,647529267,19.592798,83.060959,No
4,2026-11-12 (Thu),2026-11-19 (Thu),audiomoth,AM-FCF_GV_EMU_Kalahandi_1-03,FCF_GV_EMU_Kalahandi_1,740752085,19.422106,82.91644,No
4,2026-11-12 (Thu),2026-11-19 (Thu),audiomoth,AM-FCF_GV_EMU_Kalahandi_1-04,FCF_GV_EMU_Kalahandi_1,654499039,19.310165,82.91124,No
5,2026-11-20 (Fri),2026-11-27 (Fri),audiomoth,AM-FCF_GV_EMU_Kalahandi_2-01,FCF_GV_EMU_Kalahandi_2,633034808,19.657694,82.961321,No
5,2026-11-20 (Fri),2026-11-27 (Fri),audiomoth,AM-FCF_GV_EMU_Kalahandi_2-02,FCF_GV_EMU_Kalahandi_2,719776699,19.625794,82.967442,No
5,2026-11-20 (Fri),2026-11-27 (Fri),audiomoth,AM-FCF_GV_EMU_Kalahandi_2-03,FCF_GV_EMU_Kalahandi_2,725591934,19.631527,83.038715,No
5,2026-11-20 (Fri),2026-11-27 (Fri),audiomoth,AM-FCF_GV_EMU_Kalahandi_2-04,FCF_GV_EMU_Kalahandi_2,646077951,19.61803,83.004801,No
