Cycle/Week,Deployment date,Retrieval date,Stream,Device ID,EMU,Position,Latitude,Longitude,Pool wrapped this week
1,2026-09-09 (Wed),2026-09-16 (Wed),audiomoth,AM-EMU_ANCHOR_Fruit_Forest-01,EMU_ANCHOR_Fruit_Forest,SFV-T0577,16.457541,77.958275,No
1,2026-09-09 (Wed),2026-09-16 (Wed),audiomoth,AM-EMU_ANCHOR_Fruit_Forest-02,EMU_ANCHOR_Fruit_Forest,SFV-T0652,16.457303,77.959207,No
1,2026-09-09 (Wed),2026-09-16 (Wed),audiomoth,AM-EMU_ANCHOR_Fruit_Forest-03,EMU_ANCHOR_Fruit_Forest,SFV-T0489,16.458013,77.956878,No
1,2026-09-09 (Wed),2026-09-16 (Wed),audiomoth,AM-EMU_ANCHOR_Fruit_Forest-04,EMU_ANCHOR_Fruit_Forest,SFV-T0637,16.458209,77.958987,No
1,2026-09-09 (Wed),2026-09-16 (Wed),audiomoth,AM-EMU_ANCHOR_Fruit_Forest-05,EMU_ANCHOR_Fruit_Forest,SFV-T0667,16.456396,77.959427,No
1,2026-09-09 (Wed),2026-09-16 (Wed),audiomoth,AM-EMU_ANCHOR_Wetland-01,EMU_ANCHOR_Wetland,SFV-T0625,16.459792,77.958777,No
1,2026-09-09 (Wed),2026-09-16 (Wed),audiomoth,AM-EMU_ANCHOR_Wetland-02,EMU_ANCHOR_Wetland,SFV-T0549,16.459579,77.957838,No
1,2026-09-09 (Wed),2026-09-16 (Wed),camera_trap,CAM-EMU_ANCHOR_Fruit_Forest-01,EMU_ANCHOR_Fruit_Forest,SFV-T0461,16.457568,77.956404,No
1,2026-09-09 (Wed),2026-09-16 (Wed),camera_trap,CAM-EMU_ANCHOR_Wetland-01,EMU_ANCHOR_Wetland,SFV-T0550,16.459803,77.957844,No
2,2026-09-16 (Wed),2026-09-23 (Wed),audiomoth,AM-SEG02-01,SEG02,SFV-T0109,16.458304,77.952204,No
2,2026-09-16 (Wed),2026-09-23 (Wed),audiomoth,AM-SEG02-02,SEG02,SFV-T0042,16.459217,77.951516,No
2,2026-09-16 (Wed),2026-09-23 (Wed),audiomoth,AM-SEG02-03,SEG02,SFV-T0138,16.459655,77.952458,No
2,2026-09-16 (Wed),2026-09-23 (Wed),audiomoth,AM-SEG02-04,SEG02,SFV-T0274,16.458285,77.953607,No
2,2026-09-16 (Wed),2026-09-23 (Wed),audiomoth,AM-SEG02-05,SEG02,SFV-T0047,16.460346,77.951533,No
2,2026-09-16 (Wed),2026-09-23 (Wed),audiomoth,AM-SEG04-01,SEG04,SFV-T0226,16.461677,77.953191,No
2,2026-09-16 (Wed),2026-09-23 (Wed),audiomoth,AM-SEG04-02,SEG04,SFV-T0294,16.462799,77.953676,No
2,2026-09-16 (Wed),2026-09-23 (Wed),camera_trap,CAM-SEG02-01,SEG02,SFV-T0020,16.459672,77.951289,No
2,2026-09-16 (Wed),2026-09-23 (Wed),camera_trap,CAM-SEG04-01,SEG04,SFV-T0195,16.461229,77.95295,No
3,2026-09-23 (Wed),2026-09-30 (Wed),audiomoth,AM-SEG01-01,SEG01,SFV-T0416,16.458261,77.955244,No
3,2026-09-23 (Wed),2026-09-30 (Wed),audiomoth,AM-SEG01-02,SEG01,SFV-T0337,16.456924,77.954054,No
3,2026-09-23 (Wed),2026-09-30 (Wed),audiomoth,AM-SEG01-03,SEG01,SFV-T0100,16.456273,77.952173,No
3,2026-09-23 (Wed),2026-09-30 (Wed),audiomoth,AM-SEG01-04,SEG01,SFV-T0447,16.456894,77.956159,No
3,2026-09-23 (Wed),2026-09-30 (Wed),audiomoth,AM-SEG01-05,SEG01,SFV-T0297,16.45535,77.953797,No
3,2026-09-23 (Wed),2026-09-30 (Wed),audiomoth,AM-SEG01-06,SEG01,SFV-T0492,16.45869,77.956888,No
3,2026-09-23 (Wed),2026-09-30 (Wed),audiomoth,AM-EMU_ANCHOR_Rock_Guild-01,EMU_ANCHOR_Rock_Guild,SFV-T0571,16.456187,77.958254,No
3,2026-09-23 (Wed),2026-09-30 (Wed),camera_trap,CAM-SEG01-01,SEG01,SFV-T0032,16.45696,77.951482,No
3,2026-09-23 (Wed),2026-09-30 (Wed),camera_trap,CAM-SEG01-02,SEG01,SFV-T0422,16.457355,77.955465,No
4,2026-09-30 (Wed),2026-10-07 (Wed),audiomoth,AM-SEG03-01,SEG03,SFV-T0248,16.459642,77.953394,No
4,2026-09-30 (Wed),2026-10-07 (Wed),audiomoth,AM-SEG03-02,SEG03,SFV-T0353,16.460986,77.954116,No
4,2026-09-30 (Wed),2026-10-07 (Wed),audiomoth,AM-SEG03-03,SEG03,SFV-T0345,16.458729,77.954082,No
4,2026-09-30 (Wed),2026-10-07 (Wed),audiomoth,AM-SEG03-04,SEG03,SFV-T0221,16.460548,77.953174,No
4,2026-09-30 (Wed),2026-10-07 (Wed),audiomoth,AM-SEG03-05,SEG03,SFV-T0213,16.458743,77.953146,No
4,2026-09-30 (Wed),2026-10-07 (Wed),camera_trap,CAM-SEG03-01,SEG03,SFV-T0164,16.460103,77.952699,No
4,2026-09-30 (Wed),2026-10-07 (Wed),camera_trap,CAM-SEG03-02,SEG03,SFV-T0282,16.46009,77.953635,No
