Cycle/Week,Deployment date,Retrieval date,Stream,Device ID,EMU,Position,Latitude,Longitude,Pool wrapped this week
1,2026-09-12 (Sat),2026-09-19 (Sat),audiomoth,AM-EMU_Deccan_forest-01,EMU_Deccan_forest,PMP-T0435,18.640128,73.811392,No
1,2026-09-12 (Sat),2026-09-19 (Sat),audiomoth,AM-EMU_Deccan_forest-02,EMU_Deccan_forest,PMP-T0827,18.635178,73.814744,No
1,2026-09-12 (Sat),2026-09-19 (Sat),audiomoth,AM-EMU_Grass_land-01,EMU_Grass_land,PMP-T0612,18.640138,73.813051,No
1,2026-09-12 (Sat),2026-09-19 (Sat),audiomoth,AM-EMU_Narmada_valley-01,EMU_Narmada_valley,PMP-T0256,18.643959,73.809944,No
1,2026-09-12 (Sat),2026-09-19 (Sat),audiomoth,AM-EMU_Savana_ecosystem-01,EMU_Savana_ecosystem,PMP-T0580,18.639409,73.812833,No
1,2026-09-12 (Sat),2026-09-19 (Sat),audiomoth,AM-EMU_Seasonal_wetland_polygon-01,EMU_Seasonal_wetland_polygon,PMP-T0838,18.639938,73.814716,No
1,2026-09-12 (Sat),2026-09-19 (Sat),audiomoth,AM-EMU_Trail_plots-01,EMU_Trail_plots,PMP-T0053,18.640329,73.807599,No
1,2026-09-12 (Sat),2026-09-19 (Sat),audiomoth,AM-EMU_Water_margin-01,EMU_Water_margin,PMP-T0373,18.645961,73.810602,No
1,2026-09-12 (Sat),2026-09-19 (Sat),audiomoth,AM-EMU_Wetland_forest-01,EMU_Wetland_forest,PMP-T0252,18.641474,73.809961,No
1,2026-09-12 (Sat),2026-09-19 (Sat),audiomoth,AM-EMU_Wildlife-01,EMU_Wildlife,PMP-T0669,18.647594,73.813236,No
1,2026-09-12 (Sat),2026-09-19 (Sat),camera_trap,CAM-EMU_Deccan_forest-01,EMU_Deccan_forest,PMP-T0435,18.640128,73.811392,No
2,2026-09-19 (Sat),2026-09-26 (Sat),audiomoth,AM-EMU_Deccan_forest-03,EMU_Deccan_forest,PMP-T0956,18.638799,73.815667,No
2,2026-09-19 (Sat),2026-09-26 (Sat),audiomoth,AM-EMU_Deccan_forest-04,EMU_Deccan_forest,PMP-T1209,18.642427,73.817775,No
2,2026-09-19 (Sat),2026-09-26 (Sat),audiomoth,AM-EMU_Grass_land-02,EMU_Grass_land,PMP-T1126,18.644229,73.817051,No
2,2026-09-19 (Sat),2026-09-26 (Sat),audiomoth,AM-EMU_Narmada_valley-02,EMU_Narmada_valley,PMP-T0264,18.645766,73.809931,No
2,2026-09-19 (Sat),2026-09-26 (Sat),audiomoth,AM-EMU_Savana_ecosystem-02,EMU_Savana_ecosystem,PMP-T0683,18.640593,73.813522,No
2,2026-09-19 (Sat),2026-09-26 (Sat),audiomoth,AM-EMU_Seasonal_wetland_polygon-02,EMU_Seasonal_wetland_polygon,PMP-T0499,18.648037,73.811811,No
2,2026-09-19 (Sat),2026-09-26 (Sat),audiomoth,AM-EMU_Trail_plots-02,EMU_Trail_plots,PMP-T0033,18.640778,73.807122,No
2,2026-09-19 (Sat),2026-09-26 (Sat),audiomoth,AM-EMU_Water_margin-02,EMU_Water_margin,PMP-T0159,18.643501,73.808999,No
2,2026-09-19 (Sat),2026-09-26 (Sat),audiomoth,AM-EMU_Wetland_forest-02,EMU_Wetland_forest,PMP-T0204,18.641019,73.809506,No
2,2026-09-19 (Sat),2026-09-26 (Sat),audiomoth,AM-EMU_Wildlife-02,EMU_Wildlife,PMP-T0568,18.647815,73.812524,No
2,2026-09-19 (Sat),2026-09-26 (Sat),camera_trap,CAM-EMU_Grass_land-01,EMU_Grass_land,PMP-T0612,18.640138,73.813051,No
3,2026-09-26 (Sat),2026-10-03 (Sat),audiomoth,AM-EMU_Deccan_forest-05,EMU_Deccan_forest,PMP-T0963,18.642639,73.815641,No
3,2026-09-26 (Sat),2026-10-03 (Sat),audiomoth,AM-EMU_Deccan_forest-06,EMU_Deccan_forest,PMP-T0553,18.635391,73.81261,No
3,2026-09-26 (Sat),2026-10-03 (Sat),audiomoth,AM-EMU_Grass_land-03,EMU_Grass_land,PMP-T0634,18.647367,73.813001,No
