indicator_name,site_value,tier1_intactness,tier2_intactness
Natural Habitat Extent,2.3569,,0.0236
KBA/IBA Overlap,0.0,,
Natural Land Cover Proportion,2.1785,,0.0436
Threatened Species Richness,26.0,1.0,
Composite Extinction-Risk Index,0.0453,,
STAR_T (Threat Abatement),0.0,,
Global Human Modification,0.5743,1.0,
Light Pollution (VIIRS),1.2306,0.6829,
Human Disturbance Index,0.8763,1.0,
Daytime Surface Temperature,32.4877,0.9758,
Nighttime Surface Temperature,19.8833,0.9685,
Trophic State Proxy Index (NDCI),0.0754,1.0,
Surface Algal Bloom Frequency,0.5889,1.0,
Water Clarity Proxy Index,0.7387,,
Water Surface Dynamics Index,0.4037,,
Shoreline Development Index (Morphometric),2.0,,
Surface Temperature Stress Index,0.3863,1.0,
Riparian Complexity Index,0.4133,1.0,
eDNA Persistence Potential,0.1728,0.2174,
Microbial Stress Probability Layer,0.3729,,
Invasive Risk Index,0.2444,1.0,
Riparian NDVI Temporal Trend,-0.1467,-2.0273,
JRC Water Persistence (Permanent Fraction),,,
Shoreline Disturbance Index,0.3761,1.0,
Endemic Species Richness,1.0,0.0526,
Flagship Habitat Viability,0.208,,
Threatened Plant Species Richness,4.0,,
Endemic Plant Species Richness,17.0,,
Potentially Disappeared Fraction,0.0313,1.0,1.0
Landscape Connectivity (CPLAND),0.9605,0.9605,
Vegetation Structure (NDVI),0.0451,0.1359,0.2259
